Date of meeting,Minister,Organisation,Purpose of meeting
Jan,Attorney General Dominic Grieve QC MP,Criminal Law Commission,To discuss contempt issues
Feb,Attorney General Dominic Grieve QC MP,Federalist Society ,To discuss the EU Court of Human Rights
Feb,Attorney General Dominic Grieve QC MP,Magistrates Association,To discuss the magistrates sentencing powers 
Feb,Attorney General Dominic Grieve QC MP,Bar Council ,Regular catch up meeting 
March,Attorney General Dominic Grieve QC MP,Sir Daniel Bethlehem QC & Sir Jeffery Jowell QC ,To discuss Bahrain issues
March ,Attorney General Dominic Grieve QC MP,Young Barristers Committee,Introductory meeting 


Jan,Solicitor General Edward Garnier QC MP,Balfour Beatty ,To discuss Deferred Prosecution Agreements 
Jan,Solicitor General Edward Garnier QC MP,International Chamber of Commerce UK ,To discuss Deferred Prosecution Agreements 
Feb,Solicitor General Edward Garnier QC MP,Magistrates Association,To discuss Deferred Prosecution Agreements 
Feb,Solicitor General Edward Garnier QC MP,Bar Council ,Regular catch up meeting
March,Solicitor General Edward Garnier QC MP,Young Barristers Committee,Introductory meeting 


"Meetings include those with newspaper and other media proprietors, editors and senior executives."
